"","Dessert","Sweet_or_Salty","Fruit","measure_3"
"20","cake","salty","",0.948662297
"17","cake","sweet","bannana",0.678815561
"25","pie","salty","bannana",0.327642168
"18","","salty","",0.870048571
"19","pie","salty","",0.381895309
"8","cake","","bannana",0.137879374
"10","pie","sweet","",0.645039787
"6","","","bannana",0.8212198
"2","cake","","",0.863209976
"21","","salty","apple",0.422751305
"1","pie","","",0.994578344
"4","pie","","apple",0.783889818
"23","cake","salty","apple",0.014875118
"13","pie","sweet","apple",0.140119746
"12","","sweet","apple",0.295564859
"7","pie","","bannana",0.612088064
"3","","","apple",0.060317137
"5","cake","","apple",0.472878018
"11","cake","sweet","",0.75359264
"24","","salty","bannana",0.158741206
"16","pie","sweet","bannana",0.194169728
"9","","sweet","",0.993308683
"14","cake","sweet","apple",0.211882512
"22","pie","salty","apple",0.334359349
"26","cake","salty","bannana",0.904210676
"15","","sweet","bannana",0.725671993
